用户编号,缴费日期,缴费金额（元）
1000000001,2018/3/1,101
1000000001,2018/5/3,80
1000000001,2018/7/2,150
1000000001,2018/8/2,200
1000000001,2018/9/5,220
1000000001,2018/11/8,80
1000000001,2019/1/5,75
1000000001,2019/3/5,81
1000000002,2018/3/3,50
1000000002,2018/5/5,60
1000000002,2018/7/12,60
1000000002,2018/9/5,70
1000000002,2018/11/8,80
1000000002,2019/1/6,90
1000000002,2019/3/6,80
1000000003,2018/3/3,120
1000000003,2018/5/3,200
1000000003,2018/7/2,180
1000000003,2018/9/5,200
1000000003,2018/11/8,140
1000000003,2019/1/7,160
1000000003,2019/3/7,180
1000000004,2018/3/6,80
1000000004,2018/5/3,70
1000000004,2018/7/2,88
1000000004,2018/9/5,86
1000000004,2018/11/8,84
1000000004,2019/12/4,60
1000000004,2019/1/7,78
1000000004,2019/3/7,75
1000000005,2018/3/5,200
1000000005,2018/5/3,220
1000000005,2018/7/2,240
1000000005,2018/9/5,280
1000000005,2018/11/8,260
1000000005,2019/1/7,140
1000000005,2019/3/7,160
1000000006,2018/3/5,140
1000000006,2018/5/3,180
1000000006,2018/7/2,120
1000000006,2018/9/5,180
1000000006,2018/11/8,100
1000000006,2019/1/7,170
1000000006,2019/3/7,120
1000000007,2018/3/5,175
1000000007,2018/5/3,132
1000000007,2018/7/2,185
1000000007,2018/9/5,162
1000000007,2018/11/8,132
1000000007,2019/1/7,142
1000000007,2019/3/7,178
1000000008,2018/3/5,153
1000000008,2018/5/3,185
1000000008,2018/7/2,145
1000000008,2018/9/6,148
1000000008,2018/11/8,187
1000000008,2019/1/7,139
1000000008,2019/3/7,117
1000000009,2018/3/5,97
1000000009,2018/5/3,171
1000000009,2018/7/2,168
1000000009,2018/9/6,148
1000000009,2018/11/8,159
1000000009,2019/1/8,86
1000000009,2019/3/7,141
1000000010,2018/3/5,77
1000000010,2018/5/3,126
1000000010,2018/7/2,65
1000000010,2018/8/2,75
1000000010,2018/9/6,101
1000000010,2018/11/9,67
1000000010,2019/1/8,117
1000000010,2019/3/8,145
1000000011,2018/3/7,76
1000000011,2018/5/3,87
1000000011,2018/7/2,97
1000000011,2018/9/6,90
1000000011,2018/11/9,122
1000000011,2019/1/8,159
1000000011,2019/3/8,117
1000000012,2018/3/7,150
1000000012,2018/5/3,114
1000000012,2018/7/2,154
1000000012,2018/9/6,147
1000000012,2018/11/9,149
1000000012,2019/1/8,100
1000000012,2019/3/8,97
1000000013,2018/3/7,157
1000000013,2018/5/3,130
1000000013,2018/7/2,84
1000000013,2018/9/7,67
1000000013,2018/11/9,88
1000000013,2019/1/8,157
1000000013,2019/3/8,152
1000000014,2018/3/7,87
1000000014,2018/5/3,72
1000000014,2018/7/2,88
1000000014,2018/9/7,141
1000000014,2018/11/9,133
1000000014,2019/1/8,139
1000000014,2019/3/8,89
1000000015,2018/3/7,81
1000000015,2018/5/3,90
1000000015,2018/7/2,158
1000000015,2018/9/7,142
1000000015,2018/11/9,75
1000000015,2019/1/8,84
1000000015,2019/3/8,70
1000000016,2018/3/7,127
1000000016,2018/5/3,73
1000000016,2018/7/2,62
1000000016,2018/9/7,101
