elec_load,elec_pay,type
6454.352,4392.187,低谷
6777.852,2471.883,低谷
6839.785,2494.47,低谷
6625.684,2416.387,低谷
6664.17,2430.423,低谷
6724.59,2452.458,低谷
6689.71,2439.737,低谷
7836.732,2858.056,低谷
10123.943,3692.202,平段
11497.093,7823.772,高峰
11952.754,13041.65,高峰
11001.187,12003.395,高峰
9524.399,10392.071,平段
11594.373,7889.971,平段
11843.34,8059.393,平段
12171.221,8282.516,平段
12469.041,8485.182,平段
12243.295,8331.562,平段
12188.242,8294.099,平段
11464.464,7801.568,高峰
11138.928,12153.684,高峰
10775.795,11757.469,高峰
10401.284,11348.841,平段
9105.177,6196.073,平段
3900.944,2654.592,低谷
4220.235,1539.12,低谷
4136.856,1508.711,低谷
3919.521,1429.449,低谷
3877.999,1414.306,低谷
4188.982,1527.722,低谷
4179.601,1524.3,低谷
5393.48,1967.002,低谷
9362.548,3414.521,平段
12269.205,8349.194,高峰
13065.512,14255.78,高峰
12168.367,13276.905,高峰
10264.272,11199.347,平段
12541.909,8534.769,平段
13105.034,8917.976,平段
13116.659,8925.886,平段
13267.427,9028.484,平段
12534.419,8529.672,平段
11918.473,8110.521,平段
11377.207,7742.189,高峰
11189.189,12208.525,高峰
10092.575,11012.008,高峰
9300.473,10147.746,平段
8294.926,5644.697,平段
2284.32,833.092,低谷
2213.339,807.205,低谷
2227.66,812.428,低谷
2195.089,800.549,低谷
1978.386,721.517,低谷
1112.934,405.887,低谷
951.112,346.871,低谷
1030.148,375.695,低谷
665.12,452.614,平段
685.623,748.083,高峰
701.716,765.642,高峰
709.346,773.967,高峰
794.73,540.814,平段
773.734,526.526,平段
1006.973,685.245,平段
869.103,591.424,平段
762.896,519.151,平段
1033.207,703.097,平段
794.576,540.709,平段
712.864,777.806,高峰
681.093,743.141,高峰
649.588,708.766,高峰
643.457,437.873,平段
640.277,435.709,平段
3087.511,1126.015,低谷
3308.087,1206.459,低谷
3248.676,1184.792,低谷
3103.76,1131.941,低谷
3059.92,1115.953,低谷
3281.08,1196.61,低谷
3249.281,1185.013,低谷
4780.648,1743.502,低谷
8401.331,5717.106,平段
11605.523,12662.786,高峰
12161.561,13269.48,高峰
11489.484,12536.176,高峰
10112.75,6881.726,平段
11811.316,8037.601,平段
11629.996,7914.212,平段
11668.462,7940.388,平段
12007.447,8171.067,平段
11574.163,7876.218,平段
11625.599,7911.22,平段
11262.184,12288.169,高峰
11203.038,12223.635,高峰
9809.002,10702.602,高峰
9451.872,6431.999,平段
7852.998,5343.965,平段
6239.561,2275.568,低谷
6534.276,2383.05,低谷
6428.26,2344.387,低谷
6222.324,2269.281,低谷
6147.546,2242.01,低谷
6157.729,2245.724,低谷
6078.349,2216.774,低谷
6777.377,2471.71,低谷
8990.889,6118.3,平段
10164.455,11090.436,高峰
10620.448,11587.971,高峰
9881.253,10781.436,高峰
8820.451,6002.317,平段
9776.241,6652.732,平段
10385.155,7067.098,平段
10029.917,6825.359,平段
9820.127,6682.596,平段
9335.752,6352.979,平段
8901.12,6057.212,平段
8003.081,8732.162,高峰
7911.705,8632.462,高峰
7375.828,8047.766,高峰
6873.781,4677.608,平段
5884.509,4004.409,平段
1413.178,515.386,低谷
1462.903,533.521,低谷
1487.303,542.419,低谷
1364.288,497.556,低谷
1439.261,524.899,低谷
1471.84,536.78,低谷
