用户编号,缴费次数,缴费金额,客户类型判断
1000000001,8,987,高价值型客户
1000000002,7,490,大众型客户
1000000003,7,1180,高价值型客户
1000000004,8,621,大众型客户
1000000005,7,1500,高价值型客户
1000000006,7,1010,高价值型客户
1000000007,7,1106,高价值型客户
1000000008,7,1074,高价值型客户
1000000009,7,970,高价值型客户
1000000010,8,773,高价值型客户
1000000011,7,748,高价值型客户
1000000012,7,911,高价值型客户
1000000013,7,835,高价值型客户
1000000014,7,749,高价值型客户
1000000015,7,700,大众型客户
1000000016,8,784,高价值型客户
1000000017,7,780,高价值型客户
1000000018,7,641,大众型客户
1000000019,6,729,潜力型客户
1000000020,7,899,高价值型客户
1000000021,7,757,高价值型客户
1000000022,6,534,低价值型客户
1000000023,5,493,低价值型客户
1000000024,7,904,高价值型客户
1000000025,7,651,大众型客户
1000000026,7,777,高价值型客户
1000000027,7,631,大众型客户
1000000028,6,571,低价值型客户
1000000029,7,691,大众型客户
1000000030,7,671,大众型客户
1000000031,7,655,大众型客户
1000000032,6,519,低价值型客户
1000000033,6,545,低价值型客户
1000000034,7,721,高价值型客户
1000000035,7,769,高价值型客户
1000000036,6,645,低价值型客户
1000000037,7,627,大众型客户
1000000038,6,534,低价值型客户
1000000039,7,750,高价值型客户
1000000040,7,656,大众型客户
1000000041,6,683,低价值型客户
1000000042,7,612,大众型客户
1000000043,7,640,大众型客户
1000000044,6,601,低价值型客户
1000000045,7,711,高价值型客户
1000000046,6,711,潜力型客户
1000000047,7,654,大众型客户
1000000048,6,678,低价值型客户
1000000049,7,589,大众型客户
1000000050,7,568,大众型客户
1000000051,6,597,低价值型客户
1000000052,7,766,高价值型客户
1000000053,7,694,大众型客户
1000000054,6,459,低价值型客户
1000000055,7,788,高价值型客户
1000000056,7,714,高价值型客户
1000000057,7,711,高价值型客户
1000000058,7,685,大众型客户
1000000059,8,740,高价值型客户
1000000060,7,730,高价值型客户
1000000061,7,683,大众型客户
1000000062,7,773,高价值型客户
1000000063,7,628,大众型客户
1000000064,6,520,低价值型客户
1000000065,7,734,高价值型客户
1000000066,6,699,低价值型客户
1000000067,7,689,大众型客户
1000000068,7,711,高价值型客户
1000000069,6,548,低价值型客户
1000000070,8,667,大众型客户
1000000071,7,742,高价值型客户
1000000072,7,798,高价值型客户
1000000073,4,404,低价值型客户
1000000074,7,636,大众型客户
1000000075,7,629,大众型客户
1000000076,7,725,高价值型客户
1000000077,7,720,高价值型客户
1000000078,5,592,低价值型客户
1000000079,6,597,低价值型客户
1000000080,7,603,大众型客户
1000000081,7,680,大众型客户
1000000082,5,508,低价值型客户
1000000083,7,748,高价值型客户
1000000084,7,1289,高价值型客户
1000000085,7,569,大众型客户
1000000086,4,325,低价值型客户
1000000087,7,651,大众型客户
1000000088,7,538,大众型客户
1000000089,5,388,低价值型客户
1000000090,6,612,低价值型客户
1000000091,7,761,高价值型客户
1000000092,3,254,低价值型客户
1000000093,5,463,低价值型客户
1000000094,6,626,低价值型客户
1000000095,7,999,高价值型客户
1000000096,7,916,高价值型客户
1000000097,6,649,低价值型客户
1000000098,6,735,潜力型客户
1000000099,6,853,潜力型客户
1000000100,7,943,高价值型客户
